Company,Sector,Year,Words,Ai_mentions
Abbott Labs,Healthcare,2022,4318,0
Abbott Labs,Healthcare,2023,4763,0
Abbott Labs,Healthcare,2024,4870,0
Airbnb,Consumer Services,2022,46920,9
Airbnb,Consumer Services,2023,47815,10
Airbnb,Consumer Services,2024,47777,59
Alphabet,Technology,2022,11667,2
Alphabet,Technology,2023,10815,2
Alphabet,Technology,2024,11290,32
Apple,Technology,2022,10221,0
Apple,Technology,2023,9794,2
Apple,Technology,2024,9913,5
CVS Health,Healthcare,2022,22965,0
CVS Health,Healthcare,2023,23175,0
CVS Health,Healthcare,2024,23280,0
Costco,Retail,2022,5847,0
Costco,Retail,2023,5815,0
Costco,Retail,2024,5917,2
Deere & Co,Manufacturing,2022,8866,0
Deere & Co,Manufacturing,2023,8493,2
Deere & Co,Manufacturing,2024,8532,8
Delta Air Lines,Consumer Services,2022,8487,0
Delta Air Lines,Consumer Services,2023,8135,0
Delta Air Lines,Consumer Services,2024,7424,0
Eli Lilly,Healthcare,2022,5881,0
Eli Lilly,Healthcare,2023,7109,0
Eli Lilly,Healthcare,2024,8863,21
General Electric,Manufacturing,2022,8973,0
General Electric,Manufacturing,2023,10365,0
General Electric,Manufacturing,2024,10735,4
Goldman Sachs,Finance,2022,19824,0
Goldman Sachs,Finance,2023,21233,0
Goldman Sachs,Finance,2024,21253,24
Home Depot,Retail,2022,9842,0
Home Depot,Retail,2023,9881,0
Home Depot,Retail,2024,9849,3
Honeywell,Manufacturing,2022,6716,0
Honeywell,Manufacturing,2023,6093,0
Honeywell,Manufacturing,2024,6712,8
JPMorgan,Finance,2022,18304,0
JPMorgan,Finance,2023,17724,0
JPMorgan,Finance,2024,18852,5
Mastercard,Finance,2022,11381,4
Mastercard,Finance,2023,12186,4
Mastercard,Finance,2024,12278,21
Microsoft,Technology,2022,10360,16
Microsoft,Technology,2023,10091,40
Microsoft,Technology,2024,10863,55
NVIDIA,Technology,2022,10825,15
NVIDIA,Technology,2023,13156,31
NVIDIA,Technology,2024,16048,52
Netflix,Media,2022,10254,0
Netflix,Media,2023,10395,0
Netflix,Media,2024,10482,2
NextEra Energy,Energy,2022,10621,0
NextEra Energy,Energy,2023,11060,0
NextEra Energy,Energy,2024,11177,1
Nike,Retail,2022,13843,0
Nike,Retail,2023,13821,0
Nike,Retail,2024,14663,6
Occidental,Energy,2022,7098,0
Occidental,Energy,2023,9170,0
Occidental,Energy,2024,13372,0
Schlumberger,Energy,2022,4008,1
Schlumberger,Energy,2023,4240,1
Schlumberger,Energy,2024,4471,3
Uber,Consumer Services,2022,35103,6
Uber,Consumer Services,2023,33905,6
Uber,Consumer Services,2024,33905,6
Warner Bros,Media,2022,11173,0
Warner Bros,Media,2023,11791,0
Warner Bros,Media,2024,11680,6
